file,status,evidence
./core/collection/avl_tree.oo,BLOCKED,no caller found
./core/collection/binary_heap.oo,BLOCKED,no caller found
./core/collection/binary_search.oo,BLOCKED,no caller found
./core/collection/bit_array.oo,BLOCKED,no caller found
./core/collection/bitset.oo,GREEN,imported by core/collection/ANCHOR.oo
./core/collection/bloom_filter.oo,GREEN,imported by app/data/columnar/ANCHOR.oo
./core/collection/btree_map_kv.oo,BLOCKED,no caller found
./core/collection/btree_map.oo,GREEN,imported by core/collection/advanced/ANCHOR.oo
./core/collection/btree_set.oo,BLOCKED,no caller found
./core/collection/collections_invariants.oo,BLOCKED,no caller found
./core/collection/collections_kat.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/collection/collections.oo,GREEN,imported by core/collection/ANCHOR.oo
./core/collection/collections_set_idempotent_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/collection/collections_vec_push_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/collection/concurrent_hashmap.oo,BLOCKED,no caller found
./core/collection/concurrent_map_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/collection/count_min_sketch.oo,GREEN,imported by app/data/columnar/ANCHOR.oo
./core/collection/cuckoo_filter.oo,BLOCKED,no caller found
./core/collection/deque.oo,GREEN,imported by core/collection/ANCHOR.oo
./core/collection/disjoint_set.oo,BLOCKED,no caller found
./core/collection/fibonacci_heap.oo,BLOCKED,no caller found
